Series,Episode,Baker,Signature Bake,Show Stopper,Baker Name,technical,result,Baker Age,Baker Occupation,Hometown
5,1,Richard,Pistachio and Strawberry Swiss Roll,Miniature Coffee & Walnut Cakes,Richard Burr,10,IN,38,Builder,"Mill Hill, London"
5,2,Chetna,Fenugreek and Carom Crackers,Day On The Beach,Chetna Makan,8,IN,35,Fashion Designer,"Broadstairs, Kent"
5,2,Diana,Parmesan Triangles,"Express, First Class",Diana Beard,7,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,2,Enwezor,Pumpkin and Sunflower Savoury Biscuits,Space Adventure Moon Scene,Enwezor Nzegwu,9,OUT,39,Business Consultant,"Portsmouth, Hampshire"
5,2,Iain,Za'atar and Fig Biscuits,Wild West Scene,Iain Watters,11,IN,31,Construction Engineer,London/Belfast
5,2,Jordan,"Sourdough, Parmesan and Chilli Biscuits",Monster Attack,Jordan Cox,6,IN,32,IT Manager,"Sneinton, Nottingham"
5,2,Kate,Parmesan and Apple Biscuits,Tea Time,Kate Henry,4,IN,41,Furniture Restorer,"Brighton, East Sussex"
5,2,Luis,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,George Versus The Dragon,Luis Troyano,3,IN,42,Graphic Designer,"Poynton, Cheshire"
5,2,Martha,Caramelised Onion and Goat's Cheese Sandwich Biscuits,Ski Village Scene,Martha Collison,5,IN,17,Student,"Ascot, Berkshire"
5,2,Nancy,Fennel and Rye Thins,Hansel and Gretel Scene,Nancy Birtwhistle,2,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,2,Norman,Farthing Biscuits,Zulu Boats at Dawn,Norman Calder,10,IN,66,Retired Naval Officer,"Portknockie, Moray"
5,2,Richard,Rosemary Seeded Crackers,Pirates!,Richard Burr,1,STAR BAKER,38,Builder,"Mill Hill, London"
5,3,Chetna,Onion and Pine Nut Rolls,Rolled and Filled Twin Loaf,Chetna Makan,8,IN,35,Fashion Designer,"Broadstairs, Kent"
5,3,Diana,Rustic Picnic Rolls,Sharing Savoury Pinwheel,Diana Beard,7,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,3,Iain,Cranberry and Walnut Rye Bread Rolls,Moroccan Plaited with a Bessara Dip,Iain Watters,9,IN,31,Construction Engineer,London/Belfast
5,3,Jordan,Rye and Spelt Bread Rolls,Strawberry Raspberry Cheesecake Brioche,Jordan Cox,10,OUT,32,IT Manager,"Sneinton, Nottingham"
5,3,Kate,Orange and Cardamom Rye Bread Knots,"Prosciutto, Olive and Coriander Bread",Kate Henry,1,IN,41,Furniture Restorer,"Brighton, East Sussex"
5,3,Luis,Opposites Attract Rolls,Roscón de Reyes,Luis Troyano,2,STAR BAKER,42,Graphic Designer,"Poynton, Cheshire"
5,3,Martha,Date and Walnut Rye Rolls,Stuffed Sunflower Loaf,Martha Collison,3,IN,17,Student,"Ascot, Berkshire"
5,3,Nancy,Cider and Walnut Crusty Rolls,'Full English' Stromboli,Nancy Birtwhistle,5,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,3,Norman,Rye Bread Rolls,Chicken and Roasted Vegetable Picnic Loaf,Norman Calder,4,IN,66,Retired Naval Officer,"Portknockie, Moray"
5,3,Richard,Rye and Cranberry Rolls,Pesto Pinwheel,Richard Burr,6,IN,38,Builder,"Mill Hill, London"
5,4,Chetna,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",Chetna Makan,3,IN,35,Fashion Designer,"Broadstairs, Kent"
5,4,Diana,Orange and Lemon Curd Pots,Raspberry Ripple Alaska Swan,Diana Beard,9,IN,69,Women's Institute (WI) Judge,"Alkington, Shropshire"
5,4,Iain,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",Iain Watters,6,OUT,31,Construction Engineer,London/Belfast
5,4,Kate,Chocolate and Salted Caramel Molten Puddings,"Pistachio, Raspberry and Chocolate Baked Alaska",Kate Henry,7,IN,41,Furniture Restorer,"Brighton, East Sussex"
5,4,Luis,Pears in Puddings,Bakewell Alaska,Luis Troyano,2,IN,42,Graphic Designer,"Poynton, Cheshire"
5,4,Martha,Peanut Butter Chocolate Fondants,Key Lime Baked Alaska,Martha Collison,1,IN,17,Student,"Ascot, Berkshire"
5,4,Nancy,Pistachio Puddings with Chocolate Sauce,Summer Pudding Alaska,Nancy Birtwhistle,4,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,4,Norman,Mini Sticky Toffee Puddings,Baked Alaska with Strawberry Surprise,Norman Calder,8,IN,66,Retired Naval Officer,"Portknockie, Moray"
5,4,Richard,Black Forest Chocolate Fondants,Tiramisu Baked Alaska,Richard Burr,5,STAR BAKER,38,Builder,"Mill Hill, London"
5,5,Chetna,Rice Custard Tart with Mangoes and Raspberries,Fusion Tiered Pies,Chetna Makan,2,IN,35,Fashion Designer,"Broadstairs, Kent"
5,5,Kate,Rhubarb and Custard Tart,"Rhubarb, Prune and Apple Pies",Kate Henry,3,STAR BAKER,41,Furniture Restorer,"Brighton, East Sussex"
5,5,Luis,Tropical Manchester Tart,Four Fruity Seasons Tower,Luis Troyano,6,IN,42,Graphic Designer,"Poynton, Cheshire"
5,5,Martha,"Pistachio, Apricot and Honey Custard Tart",Three Little Pigs Pie,Martha Collison,1,IN,17,Student,"Ascot, Berkshire"
5,5,Nancy,Chocolate Crusted Passion Fruit Tart,Trio of Apple Pies,Nancy Birtwhistle,4,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,5,Norman,Tarte au Citron,Pieful Tower,Norman Calder,5,OUT,66,Retired Naval Officer,"Portknockie, Moray"
5,5,Richard,Fig and Orange Tart,Three Course Autumn Pie Feast,Richard Burr,7,IN,38,Builder,"Mill Hill, London"
5,6,Chetna,Orange Savarin with Cinnamon Cream,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream,Chetna Makan,2,STAR BAKER,35,Fashion Designer,"Broadstairs, Kent"
5,6,Kate,"Pecan, Chocolate and Sour Cherry Yeast Cake",Trio of Dobos Tortes,Kate Henry,6,IN,41,Furniture Restorer,"Brighton, East Sussex"
5,6,Luis,Apple and Cinnamon Kugelhopf with Honeyed Apples,The Cage on the Rocky Hill,Luis Troyano,3,IN,42,Graphic Designer,"Poynton, Cheshire"
5,6,Martha,Dark Chocolate and Almond Liqueur Savarin,Chess-Themed Chocolate and Salted Caramel Dobos Torte,Martha Collison,4,IN,17,Student,"Ascot, Berkshire"
5,6,Nancy,Rum Punch Savarin with Coconut Cream and Tropical Fruits,Chocolate and Caramel Dobos Torte,Nancy Birtwhistle,1,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,6,Richard,Fruity Guglhupf with an Orange Glaze,Sugar Forest Dobos Torte,Richard Burr,5,IN,38,Builder,"Mill Hill, London"
5,7,Chetna,Crispy Lentil Kachori,Chocolate and Mango & Lemon Meringue Éclairs,Chetna Makan,6,IN,35,Fashion Designer,"Broadstairs, Kent"
5,7,Kate,Spinach and Paneer Spicy Samosa,Neapolitan & Lemon Meringue Éclairs,Kate Henry,4,OUT,41,Furniture Restorer,"Brighton, East Sussex"
5,7,Luis,Childhood Empanadas,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",Luis Troyano,5,IN,42,Graphic Designer,"Poynton, Cheshire"
5,7,Martha,Mini Beef Wellingtons,Rhubarb and Custard & Maple Syrup and Bacon Éclairs,Martha Collison,3,IN,17,Student,"Ascot, Berkshire"
5,7,Nancy,Spicy Duck Pasties,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs,Nancy Birtwhistle,2,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,7,Richard,Minted Lamb Pasties,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",Richard Burr,1,STAR BAKER,38,Builder,"Mill Hill, London"
5,8,Chetna,Date and Walnut Swirl Bread,Chocolate Mousse Filled DoughnutsBraided Doughnuts,Chetna Makan,1,IN,35,Fashion Designer,"Broadstairs, Kent"
5,8,Luis,Black Forest Cherry Tree,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",Luis Troyano,2,IN,42,Graphic Designer,"Poynton, Cheshire"
5,8,Martha,Spiced Plum Iced Bread Swirl,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts,Martha Collison,5,OUT,17,Student,"Ascot, Berkshire"
5,8,Nancy,Lincolnshire Plum Braid,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",Nancy Birtwhistle,3,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,8,Richard,Fruit Swedish Tea Ring,Rhubarb and Custard and Toffee Apple Doughnuts,Richard Burr,4,STAR BAKER,38,Builder,"Mill Hill, London"
5,9,Chetna,Chocolate Orange Baklava Masala Chai Baklava,"Chocolate, Orange & Nut EntremetsCappuccino Entremets",Chetna Makan,4,OUT,35,Fashion Designer,"Broadstairs, Kent"
5,9,Luis,Indian Rose BaklavaHalwa Baklava Rolls,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",Luis Troyano,1,IN,42,Graphic Designer,"Poynton, Cheshire"
5,9,Nancy,Coffee and Chocolate BaklavaBreakfast Baklava,Raspberry NonnettesLime and Passion Fruit Entremets,Nancy Birtwhistle,3,IN,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,9,Richard,Rose and Pistachio BaklavaWalnut and Almond Baklava,Hazelnut Mocha EntremetsPink Grapefruit Entremets,Richard Burr,2,STAR BAKER,38,Builder,"Mill Hill, London"
5,10,Luis,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",Village in Chocolate,Luis Troyano,2,Runner-up,42,Graphic Designer,"Poynton, Cheshire"
5,10,Nancy,Apple and Lemon KitesRaspberry and Almond Croissants,Red Windmill,Nancy Birtwhistle,1,WINNER,60,Retired Practice Manager,"Barton-upon-Humber, Lincolnshire"
5,10,Richard,Pear Pain au ChocolatPain Au Lait,Mill on the Hill,Richard Burr,3,Runner-up,38,Builder,"Mill Hill, London"
6,1,Alvin,Orange Vanilla and Fig Madeira Cake,Black Forest Gâteau,Alvin Magallanes,2,IN,37,Nurse,"Bracknell, Berkshire"
6,1,Dorret,Madeira Cake with Candied Lemons,Enchanted Forest Gâteau,Dorret Conway,5,IN,53,Accountant,"Penwortham, Lancashire"
6,1,Flora,Blood Orange Madeira Cake,Black Forest Gâteau,Flora Shedden,6,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,1,Ian,Somewhere West of Madeira Cake,Black Forest Cherry Tree,Ian Cumming,8,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,1,Marie,Zingy Citrus Madeira Cake,A Walk in the Black Forest,Marie Campbell,3,STAR BAKER,66,Retired,"Auchterarder, Perthshire"
6,1,Mat,Gin and Tonic Madeira Cake,Black Forest Gateau,Mat Riley,7,IN,37,Fire fighter,London
6,1,Nadiya,Orange and Green Cardamom Madeira Cake,Quadruple Chocolate Black Forest Gâteau,Nadiya Hussain,12,IN,30,Full-time mother,Leeds / Luton
6,1,Paul,"Lemon, Ginger and Caraway Seed Madeira Cake",Black Forest Chocolate Creation,Paul Jagger,10,IN,49,Prison governor,"Swansea, Wales"
6,1,Sandy,Madeira Cake with Almond Liqueur and Chopped Apricots,Black Forest Gâteau,Sandy Docherty,9,IN,49,Child welfare officer,"Yeadon, West Yorkshire"
6,1,Stu,Marley Madeira Cake,Purple Forest Gâteau,Stu Henshall,11,OUT,35,Professional musician,"Guildford, Surrey"
6,1,Tamal,Pistachio and Rose Madeira Cake,Black Forest Gâteau in a Chocolate Shell,Tamal Ray,4,IN,29,Trainee anaesthetist,Manchester
6,1,Ugnė,Lemon and Thyme Madeira Cake,Falling Cup Gâteau,Ugnė Bubnaityte,1,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,2,Alvin,"Jackfruit, Pistachio and Macadamia Biscotti",Gingerbread Box filled with Brandy Snaps,Alvin Magallanes,6,IN,37,Nurse,"Bracknell, Berkshire"
6,2,Dorret,Almond and Apricot Biscotti with Amber Sugar Crystals,Box of Frogs,Dorret Conway,1,IN,53,Accountant,"Penwortham, Lancashire"
6,2,Flora,Wedding Biscotti,Honey and Earl Grey Tea Box,Flora Shedden,2,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,2,Ian,"Orange, Rosemary and Almond Biscotti",Sandwich de la Confiture,Ian Cumming,3,STAR BAKER,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,2,Marie,Biscotti Italiano,Russian Box,Marie Campbell,11,OUT,66,Retired,"Auchterarder, Perthshire"
6,2,Mat,"Pistachio, Cranberry and White Chocolate Biscotti",Gingerbread Fire Engine,Mat Riley,5,IN,37,Fire fighter,London
6,2,Nadiya,"Coconut, Fennel and Pistachio Biscotti",Box of Fortunes,Nadiya Hussain,9,IN,30,Full-time mother,Leeds / Luton
6,2,Paul,"Chocolate, Hazelnut and Fig Biscotti",Memory Box,Paul Jagger,10,IN,49,Prison governor,"Swansea, Wales"
6,2,Sandy,Chocolate Chunk and Hazelnut Biscotti,Sundried Tomato Cheese Biscuit Box,Sandy Docherty,4,IN,49,Child welfare officer,"Yeadon, West Yorkshire"
6,2,Tamal,"Cinnamon, Maple and Cranberry Biscotti",Chessboard Box,Tamal Ray,8,IN,29,Trainee anaesthetist,Manchester
6,2,Ugnė,White Wine Biscotti,Baby Climbing into the Cookie Box,Ugnė Bubnaityte,7,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,3,Alvin,"Prosciutto, Manchego and Balsamic Onion Soda Breads",Cornucopia,Alvin Magallanes,4,IN,37,Nurse,"Bracknell, Berkshire"
6,3,Dorret,Walnut and Stilton Soda Breads,Unmade Bread,Dorret Conway,6,OUT,53,Accountant,"Penwortham, Lancashire"
6,3,Flora,Fig and Hazelnut Rye Breads,Herb Couture,Flora Shedden,2,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,3,Ian,Wild Garlic Pesto Soda Breads,Flour Power,Ian Cumming,1,STAR BAKER,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,3,Mat,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",Curry Inspired Brighton Pavilion,Mat Riley,8,IN,37,Fire fighter,London
6,3,Nadiya,Mexican Bread with Warm Tomato Salsa,Snake Charmer's Basket,Nadiya Hussain,9,IN,30,Full-time mother,Leeds / Luton
6,3,Paul,Cranberry and Orange Sweet Soda Breads,King of the Jungle,Paul Jagger,10,IN,49,Prison governor,"Swansea, Wales"
6,3,Sandy,Soda Breads with Smoked Bacon and Onion,Basket of Bread Flowers with a Walnut and Blue Cheese Centre,Sandy Docherty,7,IN,49,Child welfare officer,"Yeadon, West Yorkshire"
6,3,Tamal,"Fig, Cheese and Walnut Breads",Breadcycle,Tamal Ray,3,IN,29,Trainee anaesthetist,Manchester
6,3,Ugnė,Chocolate Quick Breads with Salted Caramel Sauce,Easter Basket,Ugnė Bubnaityte,5,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,4,Alvin,Blackberry Crème Brûlées,Tower of Fruits Cheesecakes,Alvin Magallanes,9,IN,37,Nurse,"Bracknell, Berkshire"
6,4,Flora,Rhubarb and Ginger Crème Brûlées,Elderflower and Granola Cheesecakes,Flora Shedden,3,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,4,Ian,Pomegranate Two Ways Crème Brûlées,Trio of Spicy and Herby Baked Cheesecakes,Ian Cumming,4,STAR BAKER,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,4,Mat,Coconut Crème Brûlées,Chocolate Bar Cheesecakes,Mat Riley,7,IN,37,Fire fighter,London
6,4,Nadiya,Cinnamon Tea Crème Brûlées,Fizzy Pop Cheesecakes,Nadiya Hussain,8,IN,30,Full-time mother,Leeds / Luton
6,4,Paul,Almond Crème Brûlées,Berry Cheesecake Tower,Paul Jagger,1,IN,49,Prison governor,"Swansea, Wales"
6,4,Sandy,Pontefract Crème Brûlées,"Cassata, Whisky and Orange & Apple Pie Cheesecakes",Sandy Docherty,6,OUT,49,Child welfare officer,"Yeadon, West Yorkshire"
6,4,Tamal,Rhubarb and Ginger Crème Brûlées,"Mango, Hazelnut and Rosemary Cheesecake Trio",Tamal Ray,5,IN,29,Trainee anaesthetist,Manchester
6,4,Ugnė,Marula Fruit and Coffee Liqueur Crème Brûlées,"Lime, Coconut and Hazelnut Cheesecakes",Ugnė Bubnaityte,2,IN,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,5,Alvin,Pineapple Upside Down Cake,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll",Alvin Magallanes,8,IN,37,Nurse,"Bracknell, Berkshire"
6,5,Flora,"Pistachio, Apple and Cardamom Madeleine Cake",Chocolate and Pear Bûche,Flora Shedden,3,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,5,Ian,Honey and Flowers Cake,Dessert Island,Ian Cumming,5,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,5,Mat,Sugar Free Carrot Cake,Raspberry and Coconut Ice Cream Roll,Mat Riley,4,IN,37,Fire fighter,London
6,5,Nadiya,Naked Blueberry and Caraway Crunch Cake,Chocolate and Strawberry Lime Ice Cream Roll,Nadiya Hussain,1,STAR BAKER,30,Full-time mother,Leeds / Luton
6,5,Paul,Carrot & Pecan Cake,Dessert Island Getaway,Paul Jagger,2,IN,49,Prison governor,"Swansea, Wales"
6,5,Tamal,Honey and Grapefruit Polenta Cake,Passion Fruit and Pineapple Ice Cream Roll,Tamal Ray,7,IN,29,Trainee anaesthetist,Manchester
6,5,Ugnė,Chocolate and Hazelnut Sugar-Free Cake,"Chocolate, Peanut Butter and Grape Jam Roll",Ugnė Bubnaityte,6,OUT,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
6,6,Alvin,Plum Frangipane Tart,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents,Alvin Magallanes,6,OUT,37,Nurse,"Bracknell, Berkshire"
6,6,Flora,Apricot and Rosemary Frangipane Tart,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents,Flora Shedden,2,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,6,Ian,Pear and Raspberry Frangipane Tart,vol-au-vents Terre et Mer,Ian Cumming,3,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,6,Mat,Piña Colada Frangipane Tart,His 'n' Hers Vol-au-vents,Mat Riley,1,STAR BAKER,37,Fire fighter,London
6,6,Nadiya,"Bay Leaf, Rong Tea and Pear Tart",Bengali Korma and Clementine with Cod Vol-au-vents,Nadiya Hussain,4,IN,30,Full-time mother,Leeds / Luton
6,6,Paul,Christmas Frangipane Tart,Savoury and Sweet Bouchées,Paul Jagger,5,IN,49,Prison governor,"Swansea, Wales"
6,6,Tamal,Spiced Pear Frangipane Tart,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents,Tamal Ray,7,IN,29,Trainee anaesthetist,Manchester
6,7,Flora,Game Pie with Shallot and Apple Chutney,"Raspberry, Pomegranate and Champagne Charlotte Russe",Flora Shedden,4,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,7,Ian,Roadkill Pie,Victoria's Crown Charlotte Russe,Ian Cumming,5,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,7,Mat,Raised Venison and Pigeon Pie,Strawberry Charlotte Russe,Mat Riley,6,OUT,37,Fire fighter,London
6,7,Nadiya,Aromatic Raised Game Pie,Mango and Raspberry Charlotte Russe,Nadiya Hussain,1,IN,30,Full-time mother,Leeds / Luton
6,7,Paul,Not a Boaring Pie,Charlotte Rose,Paul Jagger,2,IN,49,Prison governor,"Swansea, Wales"
6,7,Tamal,Middle Eastern Game Pie,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe",Tamal Ray,3,STAR BAKER,29,Trainee anaesthetist,Manchester
6,8,Flora,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne,Flora Shedden,3,IN,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,8,Ian,Mont Blanc & Black Forest Gâteau Horns,Nun with Hidden Passions,Ian Cumming,2,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,8,Nadiya,Rose Pistachio and Mocha Hazelnut Horns,Bubble Gum and Peppermint Cream Religieuse à l'ancienne,Nadiya Hussain,1,STAR BAKER,30,Full-time mother,Leeds / Luton
6,8,Paul,Café Tipple & Banana Crunch-away Horns,Religieuse à l'ancienne,Paul Jagger,5,OUT,49,Prison governor,"Swansea, Wales"
6,8,Tamal,Lime & Mascarpone and Malt Cream Horns,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne,Tamal Ray,4,IN,29,Trainee anaesthetist,Manchester
6,9,Flora,Passion Fruit and Chocolate Tart,Cocoa Carousel,Flora Shedden,1,OUT,19,Art gallery assistant,"Dunkeld, Perth and Kinross"
6,9,Ian,Chocolate and Bay Tart,Chocolate Well,Ian Cumming,3,IN,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,9,Nadiya,Peanut Salted Caramel and Chocolate Tart,Peacock in Nan's Door,Nadiya Hussain,4,STAR BAKER,30,Full-time mother,Leeds / Luton
6,9,Tamal,Chocolate New York Pie,Chocolate Bell Tower,Tamal Ray,2,IN,29,Trainee anaesthetist,Manchester
6,10,Ian,Elderflower and Lemon & Spiced Buns,Colossal Curvy Carrot Cake,Ian Cumming,2,Runner-up,41,Travel photographer,"Great Wilbraham, Cambridgeshire"
6,10,Nadiya,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,My Big Fat British Wedding Cake,Nadiya Hussain,1,WINNER,30,Full-time mother,Leeds / Luton
6,10,Tamal,Cinnamon and Apple & Toffee and Marmalade Iced Buns,Sticky Toffee Pudding Cake,Tamal Ray,3,Runner-up,29,Trainee anaesthetist,Manchester
7,1,Andrew,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,Andrew Smyth,12,IN,25,Aerospace engineer,"Derby / Holywood, County Down"
7,1,Benjamina,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,Benjamina Ebuehi,6,IN,23,Teaching assistant,South London
7,1,Candice,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",Candice Brown,5,IN,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
7,1,Jane,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,Jane Beedle,7,STAR BAKER,61,Garden designer,Beckenham
7,1,Kate,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,Kate Barmby,4,IN,37,Nurse,"Brooke, Norfolk"
7,1,Lee,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,Lee Banfield,11,OUT,67,Pastor,Bolton
7,1,Louise,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,Louise Williams,9,IN,46,Hairdresser,Cardiff
